,0,1,2,3,4,5,6,7,8,9,10,11
8,JW4042,JW4250,JW4154,JW4155,JW4236,JW1248,JW0669,JW2074,JW2906,JW3092,JW3236,JW3622
9,yjcQ,fecB,ulaD,ulaE,yjgZ,ompW,fur,gatR,yqgB,yhaC,yhdW,ligB
10,JW3750,JW3935,JW4156,JW4327,JW1926,JW2468,JW1209,JW2102,JW2910,JW3093,JW5937,JW3780
11,yifN,fabR,ulaF,yjjB,fliJ,hyfC,chaC,molR,galP,garK,ysdC,yzcX
12,JW4065,JW4184,JW4329,JW1037,JW1142,JW1484,JW2925,JW3095,JW3660,JW3781,JW4080,JW4265
13,phnE,chpB,yjjQ,mdoH,tfaE,dos,yggN,garL,glvC,yifL,melA,sgcQ
14,JW0003,JW1237,JW0291,JW2514,JW2976,JW3096,JW3449,JW3740,JW3803,JW4266,JW0660,JW2442
15,thrC,oppC,eaeH,iscS,yghB,garP,yhhH,ilvG,yigM,sgcC,asnB,eutI
0,JW0657,JW1571,JW3058,JW3103,JW3457,JW3741,JW3831,JW3071,wild_type,JW0737,JW0482,JW3179
1,ybeZ,intQ,ygjR,agaW,yhiL,ilvG,yihE,yqjK,wild_type,aroG,ybbO,gltB
2,JW3471,JW3747,JW3832,JW4163,JW3590,JW0127,JW2090,JW0857,JW1710,JW2774,JW3087,JW3184
3,yhiS,ilvC,dsbA,ytfA,yibD,panD,thiD,hcp,arpB,fucK,tdcC,yhcE
4,JW3526,JW3748,JW3848,JW4211,JW3634,JW3961,JW0565,JW1035,JW2886,JW3088,wild_type,JW3187
5,hokA,ppiC,yihP,argI,yicL,hemE,pheP,mdoG,ygfG,tdcB,wild_type,yhcE
6,JW3618,JW3749,JW3868,JW4227,JW4234,JW0687,JW2579,JW4233,JW5087,JW5129,JW5195,JW5230
7,rph,yifO,frvR,intB,yjgX,kdpF,pheL,yjgW,citF,mgsA,tonB,yncN
8,JW5260,JW5290,JW4242,JW1219,JW2878,JW4246,JW5027,wild_type,JW5049,JW5092,JW5199,JW5261
9,ynfF,ydjK,yjhE,tpr,zapA,yjhV,mmuP,wild_type,ykiB,gltI,yciX,ynfH
10,JW5293,JW1257,JW3642,JW5001,JW5054,JW5100,JW5141,JW5201,JW5264,JW5294,JW4302,JW1390
11,yeaV,trpL,uhpC,htgA,psiF,tolB,ycdN,puuA,ynfK,yeaW,yjiQ,paaH
12,JW3685,JW5004,JW5061,JW5104,JW5203,JW5242,JW5298,JW1607,JW3739,JW5034,JW5117,JW5156
13,tnaC,caiE,mdlB,ybhF,ymjB,yddA,yobH,uidC,ilvL,ykgM,hcr,plsX
14,JW5209,JW5244,JW5271,JW5299,JW1705,JW5011,JW5035,JW5072,JW5118,JW5218,JW5251,JW5911
15,sieB,yneL,ydhX,yebQ,pheM,ligT,ykgM,sfmF,dmsA,paaK,ynfO,yniD
0,wild_type,JW0057,JW3997,JW5018,JW5040,JW5121,JW5182,JW5225,JW5254,JW5282,JW5313,JW2000
1,wild_type,rluA,malM,mltD,ykgC,ssuC,dsbB,hokB,ynfN,astD,yedO,hisL
2,JW5046,JW5078,JW5122,JW5227,JW5257,JW5286,JW5913,JW5316,JW5343,JW5368,JW5401,JW5923
3,mhpT,nmpC,ycbQ,yncK,ynfP,ynjD,intG,fliO,gatY,yojL,guaB,ygfK
4,JW5482,JW5494,JW5510,JW5528,JW5545,JW5557,JW5915,JW5374,JW5449,JW5469,JW5924,JW5926
5,speC,hybB,ygjG,yraR,yhdY,yijE,molR,menD,amiC,ygfT,yghE,yghX
6,JW5513,JW5533,JW5546,JW5560,JW5387,JW5413,JW5470,JW5484,JW5496,JW5514,JW5534,JW5547
7,ygjO,yhbC,zraP,kdgT,torI,rimM,ygfU,yghF,yghY,ygjP,yhbX,nfi
8,JW5562,JW5328,JW5359,JW5453,JW5515,JW5538,JW5549,JW5929,JW5330,JW5394,JW5421,JW5459
9,frvB,yoeF,yeiS,yqeF,alx,nanK,thiG,yiiE,yeeF,ucpA,ypjJ,ygeM
10,JW5473,JW5490,JW5499,JW5516,JW5539,JW5551,JW5331,JW5363,JW5397,JW5425,JW5462,JW5491
11,ygfB,yghQ,dkgA,yqjC,yhcB,sthA,yoeB,bcr,hda,ygaQ,xdhA,yghS
12,JW5927,JW5519,JW5540,wild_type,JW5553,JW5566,JW5366,wild_type,JW5463,JW5479,JW5492,JW5505
13,ygiB,yhaO,yhcN,wild_type,argB,yihX,ccmA,wild_type,ygeW,yggU,yghU,yqiC
14,JW5526,JW5543,JW5567,JW5367,JW5399,JW5446,JW5464,JW5493,JW5508,JW5527,JW5544,JW5555
15,garR,yhdJ,yihW,napB,yfgG,exo,yqeC,hybF,yqiH,agaA,yhdX,ptsA
0,JW5568,JW5569,JW5590,JW5613,JW5636,JW5650,JW5669,JW5680,JW5705,JW5716,JW5730,JW5637
